title,url,create_time,type
北航召开学院党委书记疫情防控专题联席会,info/1002/57356.htm,2022-11-11,综合信息
北航组织文科教师专题学习二十大报告并研讨社科基金选题,info/1002/57346.htm,2022-11-11,综合信息
北航学院召开建院5周年暨深化大类培养改革座谈会,info/1002/57336.htm,2022-11-10,综合信息
【北航师说】林海英：带学生“贴地飞行”,info/1002/57332.htm,2022-11-10,综合信息
“北京高校学习宣传党的二十大精神师生宣讲团”首场宣讲会在北航举办,info/1002/57328.htm,2022-11-10,综合信息
毕生航空情  为有“中国心”——记航空动力专家刘大响院士,info/1002/57324.htm,2022-11-09,综合信息
三位北航人荣获2022年航空航天月桂奖,info/1002/57318.htm,2022-11-08,综合信息
【北航师说】陈玉丽：让学生感受力学之美、科技之魅,info/1002/57314.htm,2022-11-08,综合信息
全校二级单位党委（党总支）理论学习中心组开展第二轮次专题学习 全体校领导列席指导,info/1002/57309.htm,2022-11-07,综合信息
【70周年校庆】“唯实高端论坛”——化学专场举办,info/1002/57297.htm,2022-11-05,综合信息
北航召开学院党委书记疫情防控专题联席会,info/1002/57356.htm,2022-11-11,综合信息
北航组织文科教师专题学习二十大报告并研讨社科基金选题,info/1002/57346.htm,2022-11-11,综合信息
北航学院召开建院5周年暨深化大类培养改革座谈会,info/1002/57336.htm,2022-11-10,综合信息
【北航师说】林海英：带学生“贴地飞行”,info/1002/57332.htm,2022-11-10,综合信息
“北京高校学习宣传党的二十大精神师生宣讲团”首场宣讲会在北航举办,info/1002/57328.htm,2022-11-10,综合信息
毕生航空情  为有“中国心”——记航空动力专家刘大响院士,info/1002/57324.htm,2022-11-09,综合信息
三位北航人荣获2022年航空航天月桂奖,info/1002/57318.htm,2022-11-08,综合信息
【北航师说】陈玉丽：让学生感受力学之美、科技之魅,info/1002/57314.htm,2022-11-08,综合信息
全校二级单位党委（党总支）理论学习中心组开展第二轮次专题学习 全体校领导列席指导,info/1002/57309.htm,2022-11-07,综合信息
【70周年校庆】“唯实高端论坛”——化学专场举办,info/1002/57297.htm,2022-11-05,综合信息
